question1,question2,is_duplicate
진짜 하루하루 너무 마음 찢어지고 숨 못쉬겠어,질질 끄는연애 드디어끝이네.,0
짝녀한테 휘둘리고 싶지 않은데 이러는 내가 싫다.,짝녀한테 휘둘리고 싶지 않은데 이러는 내가 싫다.,1
나 자꾸 놀리는 애가 있는데 나 좋아하는건가.,자꾸 놀리는 애가 있는데 나 좋아하나.,1
결혼하는데 준비할 게 많네,결혼하는데 왜 이렇게 할 게 많아,1
남자친구가 나 사랑할까?,남자친구가 나 진짜 사랑할까?,1
거울보는게 싫어졌어,걸지 못한 전화,0
싫은 건 아닌데,싫진 않은데,1
그는 내 마음을 알까?,내 마음을 알까?,1
혼자 노력하는 연애인 거 같아,혼자 노력하는 연애인 거 같아,1
기술 좀 배울까,기술 배울까,1
짝남이 외국인인데 친해질 수 있는 방법은 뭘까.,짝남이 외국인인데 친해질 수 있는 방법은 뭘까.,1
상처가 많은 사람을 사랑하는 것은 힘든 일이었어.,상황이 어찌됐던 간에 내가 못잊겠으면 연락을 했겠죠.,0
좋아하는 애랑 같은 반 됐어,좋아하는 애랑 같은 반 됐어,1
남자는 첫사랑 못 잊어?,남자들은 좋아하면 무조건 답장이 빠른가요?,0
밉게 보였으면 좋겠어,바람난 여자친구 사람 고쳐 쓰는거 아니네,0
주변사람들에게 너무 미안합니다.,죽겠다 진짜,0
머하자는거니?,멀리 가버리면 어떻게 해,0
업데이트가 너무 오래 걸려,업데이트가 엄청 느려,1
단거 땡긴다.,달달한 거 먹고 싶다.,1
왜 나를 의심하지,증거도 없으면서 나만 의심해,1
미친 사람들이 너무 많아,사이코가 너무 많아,1
이 사람은 도대체,이거 참 뭐하고 있는건지,0
3년째 짝사랑 중인 나 비정상이야?,짝사랑만 3년째,0
안경 벗으면 나으려나,안경 안 어울리는 거 같아,1
외모는 내 취향인데 좋아하는 걸까?,외모는 내 취향인데 좋아하는 걸까?,1
짝녀한테 고백했는데 미안하대.,짝녀한테 고백했는데 미안하대.,1
와플 기계사서 집에서 만들어 먹고 싶다,와플 기계 사고 싶다,1
뭐부터 바꿔야 할까,뭘 바꿔야 할까,1
베프랑 다툼,친한 친구랑 싸웠어,1
사랑하기에 시간이 부족해,사랑은 나한테 사치야,0
잘 참았는데 담배 피고 싶다,담배끊었었는데 담배 피고 싶다,1
사랑하는 거 힘들다,사랑하는 거 힘들다,1
살려줘 라는 말이 무심코 튀어 나온다,삼주라는 시간이 흘렀네,0
사랑이 뭘까?,사랑이 뭐냐고,1
너무하네 진짜,진짜 너무하네,1
5년연애 끝은 정말 멍하고 허무하네.,5년이란 시간이 무색해지네,1
으악,어머,1
우리 반에 좋아하는 남자애가 있어.,우리 반에 좋아하는 남자애가 있어.,1
오늘도 출근해~,오늘로써 이별 딱 1달째.,0
내가 뭘 잘못했을까,내가 잘못했다는데 뭔지 안 알려줘,1
여자들은 좋아하는 사람한테는 장난 잘 안 쳐?,여자들은 좋아하면 장난 잘 안 쳐?,1
친구한테 몇 년만에 연락해도 되나,연락 안 하던 친구한테 연락해도 되나,1
사랑했는데 왜 지금은 함께있지 않을까?,사랑면 함께 살고 싶지 않을까?,0
마지막 짐 갖다주러 가는 길,마지막으로 붙잡아보려 합니다.,0
좋아하는 여자가 최근들어 연락이 늦는데 나한테 마음이 없는거겠지.,좋아하는 여자가 최근들어 연락이 늦는데 나한테 마음이 없는거겠지.,1
새학기 필기구 좀 사야지,새학기 학용품 사야지,1
대체 뭘해야 머릿속에서 지울수 있을까?,덜 좋아하는 방법만 알면 힘들지 않을텐데,0
감히 나를 무시하는 애가 있어,나 은근 무시하는 애 있어,1
좋아하는 사람 얼굴이 이제 생각이 안나.,좋아하는 사람 얼굴이 이제 생각이 안나.,1
재회를 하긴 했었는데 다시 헤어짐,재회후 다시 이별,1
술 마시러 가고 싶다,술 마시고 싶다,1
썸 타다 깨진 애 있는데 다시 연락해볼까?,썸 타다 깨졌는데 다시 연락해도 되나.,1
싸우면 자꾸 잠수를 탄다 답답해,싸우면 잠수타는 사람?,1
술이 보약도 아니고,술 한 잔 했어,0
전세집 구했어,전세 계약했어,1
생각할수록 진짜 화나고 분하네 3년을 만나고 전화로 이별통보,서로 위로하며 함께 극복할 사람,0
어제 연락이 왔어. 제가 매달려서 온거같아,"어제 이별했고, 잡고 싶은데",0
학원에 좋아하는 남자애가 생겼어요.,학원에 좋아하는 남자애가 생겼어요.,1
너무 아파 외로워,너무 허무하네,0
그 사람 생각에 잠이 안 와.,그 여자를 좋아해도 되는지 고민이 됩니다.,0
비만 판정 받았어,나 비만이야,1
맨날맨날 똑같아,별다른 게 없는 일상,1
부모님 반대가 너무 심해,부모님 너무 심하게 반대 하셔,1
전공 수업 노잼,전공 수업 재미없어,1
이번 크리스마스에 눈이 올까,크리스마스엔 눈이 올까,1
웨딩촬영 봐주러 갔는데 너무,친구 웨딩촬영 갔는데 서운했어,1
감기 같애,감기인거같애,1
짝녀랑 연락이 끊겼는데 더 연락하고 싶어.,짝녀랑 연락이 끊겼는데 더 연락하고 싶어.,1
썸 중에 고백 언제가 적절해?,썸 타다가 고백하고 싶은데 언제가 적절해?,1
돈 없어도 갈 수 있는 데이트 코스,돈 안드는 데이트 코스,1
썸타고 싶어요,썸이라도 타고 싶어요,1
짝남 정리 잘하고 있었는데 자꾸 꿈에 나와.,짝남 정리 잘하고 있었는데 자꾸 꿈에 나와.,1
문득 달력을 보니,문자 보내 놓은지 어언 한 달.,0
유부녀 됐어!,유부녀 됐어!,1
동네 친구랑 썸 괜찮을까,친구였는데 썸 타는거 괜찮을까,1
사랑이 뭔지 모르겠어,사랑이 뭔지 도통 모르겠어,1
연락올까?,연락죽어도 안올텐데 매일 기다려,0
기분 참 더럽네,기억을 지우고 싶네,0
그말 하지 말걸,그쪽은 너무 편안하고 즐겁게 지내.,0
소오름 쫙 ,와 소름 돋아,1
스트레스 팍팍,스트레스 만땅,1
"이별 119일째,",이별 4일차,0
몇년째 이별인지,몇일동안 고민하다가 찾아갔습니다.,0
간통 극복하는 방법,감정에 솔직했을 뿐인데 남자들은 싫은 가봐,0
일어나보니까 침대에서 떨어져 있었어,자다가 침대에서 떨어졌어,1
미친듯이 보고싶어,미칠꺼 같습니다 정말.,1
너에게 쓰는 나의 마음편지,너한테 또 안보낼 편지,1
차라리 솔직하게 말해주지. 더 짜증나는건,착찹하네,0
이제 10일차 이별,이제 괜찮습니다. 그래서 힘드네 이젠.,0
싸웠는데 화해 어떻게 하지,싸웠을 때 어떻게 해?,1
여자친구가 나 사랑하는 건지 확신이 없어,여자친구가 나 사랑하는 건지 확신이 없어,1
출근하기 싫어,직장 가기 싫어,1
로또 당첨 번호 불러봐,로또 번호 알려줘,1
기분이 더러워,기분이 그지 같아,1
자기 소개서 오글거려,자소설 쓰는 중,1
오늘 만나기로 했는데 빈손으로 나가?,오늘 만나기로 했는데 빈손으로 나가?,1
짝사랑 중일 때 장점.,짝사랑 중일 때 장점.,1
크리스마스인데 만나자고 해도 됨?,크리스마스인데 만나자고 해도 됨?,1
머리 염색 해야지,염색이나 해야지,1
헤어진지도 어느덧 반년,헤어짐,0
이 사람 없으면 못 살 거 같아,없으면 못 살 거 같아,1
단톡방에서 내 톡에만 답장해. 썸 각?,데이트는 어디로 가?,0
나 누구게?,나는 누구인가,1
어제 동창회 갔는데 나 걔랑 썸 타는 것 같애.,동창회 갔다가 만난 애랑 썸 타는 것 같애.,1
피피엘 너무 심하네,PPL 심하네,1
착한남자.너무 쿨하지못한남자 매력없어.,참 답 없는 나란 놈.,0
자율주행 자동차 언제 나오냐,자율주행 자동차 나오겠지,1
잘지내나,잘 지내고 있니?,1
썸 타고 있는데 연락 끊겼어. 먼저 해도 돼?,썸남이 연락 안하는데 먼저 해도 돼?,1
미세먼지 지수 뭐야?,미세먼지 나쁨인가,1
괜히 농담해서 망했다,분위기 좋았는데 망했다,1
오늘 헤어졌어.,오늘도 버티고 버팁니다,0
썸은 꼭 타야 해?,썸 좀 타다가 연애로 가는 건가?,0
기분 전환이 필요해,기분 전환 하고 싶어,1
너라서 행복해,너라서 행복해,1
썸 타던 사이인데 부담 돼. 연락 무시해도 될까?,썸 타던 사이인데 이제 부담 돼. 연락 씹을까,1
갑작스럽게 연락이 왔네.,같이 보고싶어서 올려~,0
좋아하는 사람이 있는데 사연이 길어요.,사연이 길어요.,1
저를 좋아하는 사람 알면서도 모르는 척하는게 이기적인가요?,나 너무 이기적인가요?,0
다리 떠는거 말들음,다리 떠는거 지적받았어,1
이런 일상에서 휙 떠나고 싶어,일상에서 떠나고 싶어,1
인형 뽑기 해줘,인형 뽑아줘,1
사랑을 했다,사랑을 했다,1
오늘 짝녀가 썸남 생긴거 알게 되고 한 잔 했습니다.,오늘 짝녀가 썸남 생긴거 알게 되고 한 잔 했습니다.,1
내가 좋대,내가 좋대,1
잘 챙겨주는데 나를 좋아하는 걸까?,자꾸 챙겨주는데 나 좋아하나?,1
저를 좋아하는 사람은 없을 거예요.,이 세상에 저를 좋아하는 사람은 없을 거예요.,1
언젠가 자기 복제가 될까,자기 복제가 될까,1
"아프지 않은 이별은 없지만, 헤어지는게 답인 관계는 있더군.",아픔을 지니고 사랑한다는 것,0
좋아하면 어떤 느낌일까.,좋아하는거 어떤 느낌이야?,1
화이트데이에 고백할까요?,화이트데이인데 고백할까?,1
기획사니까 당연히 예쁜 애들 많겠지,기획사에 예쁜 애들 많겠지,1
썸일까?,썸인 건가?,1
좋아하는 여자 생겼으면 좋겠다.,좋아하는 애한테 하고 싶은 말이 뭐야?,0
소개팅한다!,나 소개팅한다!,1
농구하다 무르팍 깨짐,농구하다 다쳤어,1
현실과 마주하기,혹시 딴여자를 만나고 싶다는 생각이 든다면,0
8년 긴 연애의 끝.,8년 사귀고 헤어짐,1
사과를 안해,사과할 사람은 사과를 안해,1
미드 보고싶다,반딧불이 보고싶다,1
그 사람 이상형 알고 싶어,그가 내 연락을 부담스러워하진 않을까.,0
시계줄 다른 색으로 바꿔야지,시계줄 바꿔야지,1
썸 확인법,썸 확인법,1
그도 나를 좋아하는 줄 알았는데 아니었어.,나를 좋아하는 줄 알았는데 아니구나.,1
로맨틱한 사랑을 원해,로맨틱한 사랑하면 안 되나,1
아무리 꽉 붙들어도 무너지는건 한순간,아이디 생각 안나,0
시간 갖는 거,시간이 약이긴 하네,0
심심아 심심하다,심심해,1
아 잠수라니,아.빌어먹을 이제야 알다니.,0
월급 들어왔어,월급 입금됐다고 문자 왔어,1
아놔 동생이 약점 잡고 늘어지네 ,동생한테 약점 잡혔어,1
만나지 얼마 안됐는데 여행가재,얼마 안됐는데 같이 여행가재,1
부모님이 이혼하려는 거 같은데 나는 어떻게 하지?,부모님이 이혼하려는 거 같아.,1
축제날은 즐겨야지,학교 축제를 즐겨야지,1
내 잘못인 거 같은데 어떻게 털어놓지,내 잘못인 거 같은데 말을 못하겠어,1
먼저 잘게 잘자,나 먼저 잘게,1
대체불가한 사람이 될 수 있을까,대체불가한 사람이 되고 싶어,1
힘드네,힘들 거라고 말했는데,0
겁이 납니다.,결국 결혼에 골인 못하고 헤어졌습니다,0
의외야,의외인 점이 많은 사람이야,1
후련하네여,말하고 나니 후련하네여,1
목 아파,목이 뻐근해,1
사랑할 자격이 있나?,사랑할 자격이 있나?,1
남자친구가 변해가는거 같아.,남자친구가 너무 변해가는거 같아.,1
나 좋아하는 애가 갑자기 연락을 안하는데 숨은 뜻이 있는건가?,애가 왜 연락을 안하지,1
운동화가 나을까? 구두가 나을까?,운동화 신을까? 구두 신을까?,1
직장에서 좋아하는 여자가 있으면 고백하면 안되나?,직장에서 좋아하는 여자가 있으면 고백하면 안되나?,1
그녀는 지금 뭐하고 있을까?,뭐하고 있을까?,1
괜찮아졌는줄 알았는데. . .,괜찮은 줄 알았는데,1
인형 뽑기 돈만 날렸어,인형 뽑기 어려워,1
으으 짜증나네,음여기다 말해도 될까 모르겠다,0
평온해,오늘도 평온해,1
은근히 따돌림 당하는 기분이 들어,나 왕따인거 같아,1
오늘은 2년전 그녀에게 고백했던날,오늘의 감정일기를 써볼까 합니다,0
짝사랑 했던 그녀가 남친이 생겼대.,짝사랑 했던 그녀가 남친이 생겼대.,1
헤어지고 나니까 휘청거리네여,헤어지고 뜨문뜨문 연락은 다시 시작하긴 뭐하고 남주긴 아까운 뭐 이런마음인건가?,0
사랑하는 사람을 계속 기다려야 할까요?,그 사람 계속 기다려야 할까요?,1
자주 못보면 헤어지겠지?,몸에서 멀어지면 맘에서도 멀어진데,1
맞는 선택일까,잘 선택한건지,1
원피스 입을까,원피스 입는 게 낫겠지,1
동물을 너무 좋아해,고양이 너무 좋아해,1
정열적인 사랑 하고 싶어,정열적인 사랑을 하고 싶어,1
짝남한테 여러 번 차이다가 나중에 사귀게 된 사람도 있을까?,짝남한테 여러 번 차이다가 나중에 사귀게 된 사람도 있을까?,1
짝남한테 늦은 생일 선물 주러 가는데 떨려.,짝남한테 늦은 생일 선물 주러 가는데 떨려.,1
그나저나 힘들긴 힘드네.,그냥 답답하네.,0
짝남이랑 동생 이름이 똑같아.,짝남이 좋아하는애 있거나 여친 있으면 포기하는 이유가 뭐야?,0
헤어진지 2주째 .,헤어진지 3달만에 카톡왔는데 어떻게 해야할지 모르겠어,0
황당하지만 재미난 일이 생겼네ㅎㅎ,후 좀 낫네여,0
정말 고맙다 귀염둥아,고맙다,1
고작 사람 하나인데,공허하네,0
어젯밤. 헤어졌던 여자친구에게 전화가 왔어.,어쩔 수 없겠죠,0
헤어지고 나서 알았어 사랑했다는 걸,헤어지고 나서 사랑했다는 걸 알았어,1
많이 만났는데 아직도 왜 모르지?,그렇게 오래 만났는데 아직도 왜 모르지?,1
좋아하는 티도 못내는 제가 너무 불쌍해요.,좋아하는 티도 못내는 제가 너무 불쌍해요.,1
짝녀 알바 그만둬서 못나는데 연락처 물어보면 싫어할까.,짝녀 알바 그만둬서 못나는데 연락처 물어보면 싫어할까.,1
바람이나 비슷한 일 용서해주신 사람 있을까 ?,바빠졌으면 좋겠어,0
공부하기 힘들다,과거가 발목을 잡아,0
진짜 피곤한 날,오늘 너무 피곤해,1
좋아하는 사람에 대해 착각만하게 되는 내 자신이 싫어.,좋아하는 사람의 심리를 모르겠어.,0
엄청 로맨틱해,엄청 로맨틱해,1
화장품 없어 사야 돼,화장품 다 떨어졌어,1
남자친구가 표현을 하게하고싶은데 방법을 잘 모르겠어.,남자친구가 표현을 하게하고싶은데 어떻게 고치게 하지,1
사랑 고민,사랑 고민 말해도 되나요?,1
좋아하는 남자애한테 어떻게 관심 표현함?,좋아하는 마음을 전할 수 있을까.,0
걱정 좀 없이 살고 싶다.,걱정 없이 살고파,1
그녀에게 연락이 왔습니다,그녀와 헤어지고 느낀게 많네,0
쉬는 중입니다.,놀아 줄 사람이 없어,0
이젠 의미있는 시간을 만들어보려해,이젠 조금씩 생각이 변하네,0
여친이 나랑 찍은 사진 프사로 안해.,프사 바꾸는 거 귀찮아서 잘 안해.,0
이 상황에서 벗어나고 싶어,벗어나고 싶어,1
쇼핑하고 싶다,쇼핑 좀 해볼까,1
시간 잘 떼우는 방법,뭐하면 시간이 잘 갈까,1
2년의 꿈같았던 사랑 갑작스런 이별,2년이 지나서 첫사랑이 살던 곳 지나갔는데,0
친구가 자꾸 집착하는 것 같은데 뭐라 말하지,친구가 나한테 집착해,1
영화 보러 왔어,영화보고 왔다,1
잡힐듯하면서 안잡히네.,장수 커풀의 이별,0
잘못이라면 더 많이 좋아했던 죄.,잘참다가 페북을 봐버렸네,0
층간소음에 살인 난다더니.,층간소음 때문에 왜 살인이 나는지 알 거 같애,1
남자친구랑 왜 맨날 싸울까?,남자친구의 스킨쉽이 너무 부담돼.,0
왜좋았던 기억만 남을까,왜이럴까 우린.,0
변화를 좀 주고 싶다.,나 바뀌고 싶어,1
헤어진 여친 생각나,전여친 보고 싶어,1
이제 놓을수 있을것 같아,이제 모든게 퍼즐처럼 맞춰지네,0
이별 하루차를 보내고 있습니다,이별 후 첫날,0
축의금 보통 얼마내?,축의금 얼마 내지?,1
중국어 배울려면 학원 다녀야 할까,중국어 학원 다녀야 하나,1
사랑해서 너무 행복해,사랑해서 요즘 많이 행복하다,1
오디션 도전해볼까,오디션 나가볼까,1
짝남이 너무 좋은데 패션센스가 별로야.,짝남이 너무 좋은데 패션센스가 별로야.,1
다시 태어나도 챗봇할래?,다시 태어난다면,1
추운날씨.,친구도 연인도 아닌 그런사이의 끝,0
짝녀가 내 톡은 안 읽고 프사 바꿈.,짝녀가 내 톡은 안 읽고 프사 바꿈.,1
다들 어떻게 견딜까,다른 사람들도 나처럼 이렇게 힘들까,0
잘하는게 없는 느낌,나 잘하는게 없는거같아,1
보이스피싱 같은데,나 보이스피싱 당한 거 같은데 어떡해?,1
세상에 영원한 것은 없다.,소중한 것을.,0
다른 사람은 잘만 하는 연애,더 사랑해달래,0
잘 만나고 있는데 나 질려하면 어쩌지 걱정이야,나 질려하면 어쩌지 걱정이야,1
괜찮은 줄 알았는 데,"괜찮은 척, 어른인척",1
변명거리가 생각이 안나,변명거리 생각해봐,1
제길,제일 짜증나는게뭐냐면 문자로 헤어졌다는 거야,0
카톡 2틀째 확인안하내,카톡차단에 이제는 프로필 비공개 당했어,0
짝남이랑 카톡이 끊겼는데 어떻게 더 연락할까?,짝남이랑 카톡이 끊겼는데 어떻게 더 연락할까?,1
과일 챙겨 먹어야지.,과일 먹어야지.,1
역시 못잊겠습니다.,연락 왔는데 끝냈어,0
다크서클 턱밑에 있다.,다크서클 내려왔어,1
짝남이 내가 좋아하는걸 1도 몰라.,짝남이 내가 좋아하는걸 1도 몰라.,1
시련,싫어지는것.,0
내가 이상한건가?,내가노력해 봐도.,0
오늘마지막 통화후 깔끔히 정리,오늘은 그런 생각이,0
내일 결혼식이야,드디어 내일 결혼식이야,1
잘할 수 있겠지,나 잘할 수 있을까,1
헤어진지 15일,헤어진지 1달,0
군대를 기다리는게 너무 힘들어,그 남자를 좋아해도 되는지 고민이야.,0
소심남 좋아하는 여자도 있나요?,소심한 남자 좋아하는 여자도 있을까요?,1
발목 접질렀어,발목 삐끗했어,1
꿈이 너무 리얼하네,끈을 놓지 말자.,0
"이별 , 그 아픔을 잊는 시간의 두려움이란",이별 3일째,0
썸 타는 중인데 다른 사람과 연락 자제해야 해?,아직 썸인데 다른 사람과 연락 자제 해야 해?,1
가족끼리 여행간다.,가족여행 가야지,1
사랑 존재하기는 해?,사랑이란게 있기는 해?,0
먼저 연락 안 오면 끝인가,연락 안 오면 이제 끝인가,1
두달전에 잠수이별했던 전남친이 연락한다,두번째 이별,0
하 말 잘하는 애들 부러워,말 잘하는 법,1
약간 나혼자 썸타는 듯.,약간 나혼자 썸타는 듯.,1
사랑 지키는 방법,사랑하는 사람이랑 놀러 다니고 싶다.,0
썸남도 내 생각할까?,썸남도 지금 내 생각할까?,1
아메리카노 한 잔,진한 커피 한잔,1
오해하는 거 같은데 어떡하지?,오해로 싸움이 시작됐어,0
겁난다,겁난다,1
이별 후 한달,이별. 몸이 버티질 못하네.,0
싸울 때 내가 아는 사람이 맞나 싶어,싸울 때 그 사람이 맞나 싶어,1
너무나도 힘들어,너무 화가 나네.,0
둘 다 바보였다,드디어 바닥을 찍었네,0
배고프면 예민함?,공복이면 예민함?,1
결혼 결심한 이유 있어?,왜 결혼해?,0
삼각관계인가?,이게 말로만 듣던 삼각관계인가?,1
술집에서 헌팅했어,오늘 술집에서 헌팅했어,1
이별을 하는게 나을까,이별의 시간,0
집안일을 못하겠어,집안일 어려워,1
어려운일,어제 꿈에나온너.,0
집안일이 너무 많아,집안일 쌓여 있다,1
눕자마자 잘 거 같아,누우면 바로 자,1
하하 진짜 헤어지고 싶다,한달 됐네,0
열받아서 막 전화에다가 화풀이했어,오늘 너무 힘드네,0
동거 8년 환승이별.,두 번째 이별 이야기,0
좋은 하루였어,주말이 참 힘들겠어,0
썸남이랑 벚꽃 놀이 가고 싶어.,썸남이랑 벚꽃 놀이 가고 싶어.,1
대빵 큰 여드름 올라와,여드름 났어,1
월급이 안 오르네,월급은 안 오르고,1
어떻게 하면 호감형이 될까,사람의 마음을 얻는게 어려워,1
이별 후 1년 그리고 선물,이별 후 다른 이성 소개팅 후 후폭풍,0
서로 좋아하는 사람 만나기가 정말 힘든거였네.,서로 사랑하는거 정말 힘든거였네.,1
일주일간 괜찮았는데.,입원 중에 이별통보 받았는데 마이 아프네,0
면허 없는데,면허 없는데 따야겠지,1
머리카락이 자꾸 빠져,머리카락이 엄청 빠져,1
너와 내가 인연이었으면 좋겠어, 인연이었으면 좋겠어,1
죽었던 연애세포가 살아나는 것 같아.,죽었던 연애세포가 살아나는 것 같아.,1
헤어지고 이제 알았어,헤어지고나서 다시 붙잡길래 믿었어.,0
썸은 좋은데 사귀긴 싫어,썸은 좋은데 사귀긴 싫은건 어떻게 해,1
남자친구가 너무 조급해.,남자친구가 성격이  너무 조급해.,1
결국 답왔는데.기다리지 말라네,결국 만나진 못하고 카톡으로 맘 전했네,0
내가 좋아하는 걸 티냈는데 그 사람은 반응이 없어.,내가 좋아하는 걸 티냈는데 반응이 없어.,1
잠이 계속 와,잠이 너무 와,1
나이가 많은데 취직이 될까,취직하는데 나이가 많아,1
유학 준비하는 여자친구,유학 간다는 여자친구,1
프리마켓 재밌겠지,프리마켓 구경가야지,1
오래 만나는 방법 있어?,오래 만나고싶은데,1
이무슨 신의 장난인지,이별 10일째 되어가네,0
키 작은 남자 좋아하는 여자 있나요?,키 작은 남자 좋아하는 여자 있나요?,1
어린이집 입학식 가야겠지,어린이집 입학식 꼭 참석해야하나?,1
가족들이랑 어디 가지?,가족 여행 어디로 가지?,1
설날인데 재밌는거 안해,설날인데 볼 게 없어,1
여린 마음에 상처준 건 아닐까?,여린 마음에 상처준 건 아닐까?,1
산다는건 뭘까?,잘 사는 게 뭘까?,1
시원한 냉면 먹고 싶어,냉면 땡긴다,1
으으~ 떨린다,내일 떨린다,1
깨끗하게 보내야 하는데,꿈 때문에 새벽에 깨게 되네.,0
머리에서 열날거 같다.,머리만 바빠,1
택시비로 돈을 너무 많이 썼어,택시 너무 많이 탔어,1
말할 때 너무 떨려,말할 때 엄청 떨려,1
축구 가야 되는데,축구하러 가야지,1
막말 할거 같은데,막말이 나와,1
예전에는 비슷했는데,어렸을때는 비슷했던 거 같은데,1
어느새 헤어진지 한달,"어떤 날도, 어떤 말도",0
미련 남은거랑 좋아하는 거랑 뭐가 다름?,미련이랑 좋아하는 거랑 뭐가 다름?,1
베란다도 꾸미니까 예쁘더라.,베란다 좀 가꿔볼까,1
언젠가 마주치더라도 너만 보일거야.,얼마나 지나야 잊혀지나?,0
뒤에서 얘기하면 내가 못 들을 줄 알았나봐?,뒤에서 호박씨까면 내가 못 들을 줄 알았나?,1
스튜디오 촬영하는 날이야!,스튜디오 촬영하는 날이야!,1
상 좀 받아야 할텐데,나도 상 받고 싶다,1
염색하는게 좋을까?,염색해볼까?,1
어떻게 해야 하는 거니,어떻해야 할까,1
기다리는 것도 행복해,기다리는 사람 있는 것도 행복한 일이구나,1
혼자 살 수 있을까,혼자 살아도 될까,1
정말 속상하고 답답하고 할 수 있는게 없네,정말 오랜만에 글을 쓰네,0
이렇게 얘기라도 하면 나아질까?.,이번주 일요일날 만나기로 했어,0
내가 좋아해도 될까?,내가 좋아하면 안 되는거 아닐까?,1
짝녀랑 약속 파토 났어요.,짝녀랑 약속 파토 났어요.,1
지금 상황을 정리하고 유학을 가자는 상대,지금 상황을 정리하고 유학을 가자는 상대,1
주말에도 헬스하러 많이 오네.,주말인데 헬스장에 사람이 많네,1
봄이 왔어,봄이다,1
엄마가 나만 시켜,엄마가 나만 시켜,1
휴대폰 없이 못 살거 같아,나 폰 중독인 거 같애,1
어장인건가,어장인건가,1
반장이라서 힘들어,반장은 원래 힘들어?,1
사진 다 지우진 못하겠네,살고 싶다.,0
괜히 기다렸어,나만 기다렸나봐,1
오늘 이별하러가!,오늘 하루도 잘 버티고 계신가?,0
여행 가야지,여행 계획 세워야지,1
듬직한 사람이 좋아,기댈 수 있는 사람,1
또라이들 짱 많아,또라이가 너무 많아,1
일 대충했대,대충했다고 혼났어,1
좋아하는 사람 직업이 좀 걸리는데 계속 좋아해도 될까요?,좋아하는 사람만 보면 눈물이 나는데 어떡해?,0
자신과의 싸움중에서 이제 이틀째 날,자존감이 떨어져 있는 지금.,0
상대방의 마음을 사로잡는 방법,상대방의 마음을 사로잡는 비법 알고 싶다.,1
미용실 가서 머리해야지,미용실 가야지,1
나는 뭘 잘할까,잘하는 게 뭘까,1
몸이 아프니까,못잊을땐잊고싶고잊혀지려하니잊기싫은것,0
가슴이 뛰어,가끔 짝사랑 하는 여자애랑 데이트 하는 상상을 해.,0
만나자,만나자고 말해야지,1
주말이 제일 힘드네,주저리주저리 푸념글,0
짝남 일년 째 멀리서 지켜보기만 하는 중.,짝남 일년 째 멀리서 지켜보기만 하는 중.,1
강아지 키우고 싶은데 역시 안돼겠지,강아지 키울 수 있을까,1
좋아하는 애가 자자고 해서 자버렸어. 어떡해?,좋아하는 애가 자자고 해서 자버렸어. 어떡해?,1
노래가 정말 가슴이 찢어지내,누구나 궁금할법한 이야기,0
잘 먹는 여자가 좋아,잘 먹는 게 좋지,0
좋아하는 여자한테 관심 없는 척 하는데 잘하고 있는지 모르겠어.,좋아하는 여자한테 관심 없는 척 하는데 잘하고 있는지 모르겠어.,1
옷은 많은데 입을 게 없어,입을 거 없다,1
서로 좋아하는 것 같은데 내가 자존심 때문에 자꾸 관심 없는 척하게 돼.,자존심 때문에 자꾸 관심 없는 척하게 돼.,1
생강차 끓여 먹어야겠다,생강차 먹어야겠다,1
나 새 옷 샀다,새 옷 샀다,1
짝녀 프사 자음이 궁금함.,짝녀 프사 자음이 궁금함.,1
가족 여행 고고,가족 여행 가기로 했어,1
진짜 마지막까지 믿었습니다.,진짜 이별,0
하는 일 없이 피곤해,오늘 일도 안 했는데 엄청 피곤해,1
헤어진 여자친구와 재회하고 싶어,헤어진 지 2주 파혼,0
작년 오늘.,잘 지내고 있네,0
짝사랑하다고 솔탈함. 기 받아가.,짝사랑하다고 솔탈함. 기 받아가.,1
저녁밥 뭐 먹냐?,저녁 뭐 먹지?,1
집에 친구 오라고 하려고,집에 친구 초대하려고,1
삼겹살 냄새,삼겹살 냄새 다 벴어,1
죽진 못하겠구 겁이나고,지겹다,0
참견 좀 안했으면,이래라 저래라 참견 좀 안했으면,1
양말 구멍 난거 지금 봄,양말 구멍 났다,1
어떻하죠? 이 상황을,"어제 결국 또 톡보내버렸네,",0
담뱃값이 왜 이렇게 비싸,담배 왤케 비싸,1
감정컨트롤을 못하겠어,감정컨트롤이 안돼,1
이별 6일째,이별 너무 힘드네ㅠ,0
썸남 발렌타인 선물 뭐가 좋을까?,썸남 선물 뭐가 좋을까?,1
인생 너무 불공평해,너무 불공평한거 같애,1
헤어진지 3주,헤어진지 42일째.,0
짝남이랑 잘됐으면 좋겠다.,짝남이랑 잘됐으면 좋겠다.,1
지치네,진짜 끝이었다는걸아는데도,0
밥이 없어,집에 먹을게 없어,1
술 마셨는데 썸 타는 여자한테 전화해도 되는 부분?,이별 뒤.,0
왜 이렇게 쓸쓸하지,외로워,1
썸녀가 짝녀 됐습니다.,회사에 좋아하는 남자가 생겼어 어떡하지?,0
음.반복이냐,의미부여 안하고 싶은데,0
퇴근 시간도 아닌데 엄청 막혀,퇴근길 아닌데 차 엄청 막혀,1
할 수 있는 일이 이것뿐이라서,해외장거리 헤어진지 3주 다되가네,0
역시 나는 천재야,난 천재다,1
오랜만에 아침 먹었어,아침 먹었더니 든든하네,1
